"","text","emotion","polarity","result"
"4114","united thanks","unknown","positive","positive"
"4115","united does the economy plus cabin also qualifies as a premium cabin","unknown","positive","neutral"
"4116","united flight ua been sitting on tarmac formins with no report as to whyany input","unknown","negative","negative"
"4117","united a rd party service you use to sell your tickets has ripped me off excellent service united is offering","unknown","positive","negative"
"4118","united no thanks","unknown","positive","neutral"
"4119","united yesterday im sorted now","unknown","positive","neutral"
"4120","united thanks for that advice so helpful cant believe you guys actually charge people to fly united","joy","positive","negative"
"4121","united if you have had any issues withunited airlines please retweet paid for a full fight ticket and was given a standby instead","joy","neutral","negative"
"4122","united just tried to log in and was told email log in not currently available","unknown","positive","negative"
"4123","united gg so why did you cancelled flight tickets for thousands of people when you didnt like the exchange rate doublestandards","joy","neutral","negative"
"4124","united do you have an email address i can write my account to might be less likely to disappear","unknown","negative","neutral"
"4125","united so i wasted mins filling inonline forms you are telling me you didnt receive how do i know this wont happen this time","unknown","positive","negative"
"4126","unitedfrom amsterdam to ewr","unknown","positive","neutral"
"4127","united stuck here in iah waiting on flightto honolulu forhours due to maintenance issues could we have gotten a new plane fail","unknown","negative","negative"
"4128","united unitedappeals gg what kind of hypocrisy is that only cancelled flightling tickets with bad exchange rate if in your advantage united","joy","negative","negative"
"4129","united no the entire problem here is that i was never sent anything via email and only given a flight booking problems number over the phone","unknown","negative","negative"
"4130","united calling that number was useless heading to the airport now to pick up my bags this whole situation seems like a real joke","joy","neutral","negative"
"4131","united they couldnt get me first class on any of their flights so i just rebooked myself","sadness","neutral","negative"
"4132","united but the gate agent and club staff got me priority standby for next so might only be minor disastertravelingwithsmallkids","unknown","positive","neutral"
"4133","united ill be sendingposting complete details of the circumstances surrounding this matterunited airlines should be ashamed","unknown","negative","negative"
"4134","united hidden city forces me into crappy seat even though exit row is available on the first leg your support cannot fix","unknown","positive","negative"
"4135","united jt thanks for your help i‚Äôll complete the form once we are back home","unknown","neutral","positive"
"4136","united missed itincoming on time then sat forthen no jetbridge drivermissed a min connection from an on time flight","unknown","negative","negative"
"4137","united gg ladies and gentsunited airlines","unknown","positive","neutral"
"4138","united you might be dealing with frustrated passenegers hope you all have a great daythank you very much for an amazing airline","anger","positive","positive"
"4139","united allright last questionthe power outlets on my flight are available in the premium cabin does that include economy plus cabin","unknown","negative","neutral"
"4140","united well its la and then a hr car ride to a dark palm springs technically maybe ill get bumped to st class den to phl on friday","sadness","negative","neutral"
"4141","united yes still need assistance i dont have a flight home due to change in flight u made i miss all connections","unknown","negative","negative"
"4142","united i believe you have to follow me in order for me send you a dm","unknown","positive","neutral"
"4143","united thanks we would like an apology and a full refund please confirm when we will receive","joy","positive","negative"
"4144","united hi can you email me here so i can share the details thanks frankpostsecretcom","unknown","positive","neutral"
"4145","united but i got a bad exchange rate so want my money back please can you refund without penalty","joy","neutral","negative"
"4146","united my flight ua to denver for rmoug has been recheduledtimesif i am no show youll know why ridiculous","unknown","negative","negative"
"4147","united youre just using automatedresponses and dont have the decency to actually carerespond","unknown","positive","negative"
"4148","united jt the issue is with missed connections early gate closings and zero concern from customer service","joy","negative","negative"
"4149","united here i was thinking how i could say so many nice things after getting upgraded but then you delayed my flight its ok","unknown","neutral","negative"
"4150","united can you explain how it rewards us elite premiere k members","unknown","positive","neutral"
"4151","united for our birthdays my fianc„ amp i want to travel late flight april youre our fave airline but frontier has this","unknown","neutral","neutral"
"4152","united i‚Äôm resending the confirmation code in a dm","unknown","positive","neutral"
"4153","united i did dm the details back onwhen this started with phone number to reach me no reply either online or by phone","unknown","positive","negative"
"4154","united airlines ceo jeff smisek disloyal to loyal workersvia huffpostbiz","unknown","negative","neutral"
"4155","united the guidelines say xx my bag is xx so its a bit taller than the guidelines is that gonna be a problem","unknown","negative","neutral"
"4156","united thank you i wish the lady in little rock had told me that in the morning when i asked her","unknown","neutral","positive"
"4157","united no claim number havent been back to iad baggage since is there a phone i can call to speak to someone","unknown","negative","negative"
"4158","united do you think there will problems at newark nj on saturday due to expected snow","unknown","positive","neutral"
"4159","united got iti am following the united page","unknown","positive","neutral"
"4160","united thank you for the speedy response i figured it may be something of that nature you guys and your fine print haha","unknown","positive","positive"
"4161","united worst service ever ˇòà","unknown","neutral","negative"
"4162","united thanks for your attention i would actually like to make a specific complaint about customer service at dca what is my best option","joy","neutral","negative"
"4163","united cant believe united cant find someone to just simply check a seat back for a missing passport loved united but debating choice","unknown","positive","negative"
"4164","united i am furiousyoure firm is a disgrace despite all our efforts you did zero to protect our daughter all alone at nightunited","anger","negative","negative"
"4165","united holy high speed internet batmanspeeds at united club at iad are insanely fastthanks","anger","neutral","positive"
"4166","united your website flight booking problems experience is an obnoxious upsellladen disaster for anyone with half a brain","unknown","negative","negative"
"4167","unitedmrandyep likeweeks after my flight creative","unknown","neutral","neutral"
"4168","united fltis having some major delays bc ground crew was so slow the flight crew has been terrific beenhours on the groundˇò","surprise","negative","negative"
"4169","united sorry i hate united i wont get to see my family until thursday","sadness","negative","negative"
"4170","united thanks for the timely service amp great staff getting my wife and me to and from cancun this past week for our honeymoon","joy","positive","positive"
"4171","united done just now thanks","unknown","positive","positive"
"4172","united currently on standby to lax then it is ahour ride to palm springs long day starting at a snowyam in philly","unknown","negative","neutral"
"4173","united your customer service for mileage plus customers is a disgrace i just spentmin on the phone to reset a pin number with no luck","unknown","positive","negative"
"4174","united no i do not i was only given a flight booking problems reference number","unknown","negative","neutral"
"4175","united all these changes way to stick it to your premiere k loyal customers why make things harder for those that loyal to you","unknown","negative","negative"
"4176","united thanks for the offer but i finally made it to my destination albeit hours late flight","unknown","negative","negative"
"4177","united airlines cancelled flights oc fll flight todayto switch no notice no apology we are done flying unitedairlines","unknown","negative","negative"
"4178","united can you send me another confirmation email","unknown","positive","neutral"
"4179","united it would be super if you paid as much attention to actual fliers as you do to credit card holders","unknown","positive","negative"
"4180","united i travel a lot and i get it youre still my fave but ewr to cleveland w min layover to connect to dcour best option come on","sadness","neutral","negative"
"4181","united pm and my bags still not here not even a courtesy toiletries kit not the flight experience i was expecting very disappointed","unknown","neutral","negative"
"4182","united airlines cancelled flights oc fll flight todayto switch no notice no apology done flying unitedairlines","unknown","negative","negative"
"4183","united sorry wrong link for the bagthats the one i meant","sadness","negative","neutral"
"4184","united flightlaxiad back rows not cleaned prior to boarding how gross is that to find used tissues in your seatplease","unknown","neutral","negative"
"4185","united thank you ˇòö","unknown","positive","positive"
"4186","united take a lesson from virginamericathey know how to treat customers","unknown","positive","neutral"
"4187","united plus you horrible seating and poor customer service everywhere ive flown now you take away the mileage programhorrible","fear","negative","negative"
"4188","united youd learn if you listen to your customersyou do want you wantvirginamerica asks their customer what they want","unknown","positive","negative"
"4189","united customer service ˇëû","unknown","positive","negative"
"4190","united priceless united stranded my daughter at ohare united did zero to keep her safealone on a plastic chair for hunited air","unknown","neutral","negative"
"4191","united hi again any updates here","unknown","positive","neutral"
"4192","united could you tell me if this bag would be accepted as a personal itemcan i bring one carryon bag plus this","unknown","positive","neutral"
"4193","unitedwhich you finally cancelled flightled","unknown","positive","negative"
"4194","united what link those are all the email offers u sent me in a year to buytransfer milesthe lastjust expired","unknown","positive","negative"
"4195","united thanks finally made it missed meetings but what can i do now","unknown","positive","negative"
"4196","united our flight was originally supposed to leave at pm amp now we wont leave untilthis is the nd time this has happened","unknown","negative","negative"
"4197","united supposedly theyre out for delivery ill believe it when i see it","unknown","negative","negative"
"4198","united thank you yes i was hoping to speak with someone directly but appreciate the link nonetheless","joy","positive","negative"
"4199","united sure did only waited about min yay","unknown","positive","positive"
"4200","united hi jh my experience with united has been entirely disgusting but yes id like assistance in getting compensated for my bag","disgust","positive","negative"
"4201","united took this picture on thursday awesome","unknown","positive","positive"
"4202","united probably wouldnt be doing it had someone returned my call or email case number","unknown","negative","negative"
"4203","united i cant even fit my name on the first two lines yes please do pass on feedback this is a big downgrade from previous years","anger","positive","negative"
"4204","is expiring the united offer to buy or transfer united mileageplus miles with discount many offers during a year","unknown","negative","positive"
"4205","united no it wasflight cancelled flightlations one due to weather one mechanical paid own hotel bag held in transfer no vouchercompensation","unknown","positive","negative"
"4206","united i got email that my reservations got cancelled flightled and i will be refundednothing got refunded as of yet","unknown","neutral","negative"
"4207","united so what do you offer now that my flight was cancelled flighted and im stranded away from home and work","unknown","neutral","negative"
"4208","united you are really trying me today","unknown","negative","negative"
"4209","united looks like im settled in to where im goingthx","joy","positive","positive"
"4210","united flthas had two more updates in the lastminutes","unknown","positive","neutral"
"4211","united no they were to busy taking to each other and i needed to get to an audition","sadness","negative","negative"
"4212","united was never given one","unknown","positive","neutral"
"4213","united quick response offering assistance but lack of follow throughnot really the service i was expecting","unknown","neutral","negative"
"4214","united stuck in iad going onhours waiting for a ferry flight from nashville that u cant tell when it will arrive ridiculous","unknown","negative","negative"
"4215","united fltno gate agent no announcements so unprofessional time to go back to delta","unknown","positive","negative"
"4216","united thanks kp please also mention the quiche breakfast and tandoori chicken dinner entrees and accompaniments are truly first class","joy","positive","positive"
"4217","united fltdeparture time has changed five times in the lastminutes why dont you figure out a solution and announce once","unknown","negative","negative"
"4218","united bags are still in houston since friday and still have not been reimbursed the baggage fee","unknown","positive","negative"
"4219","united who can tell me where they are","unknown","positive","negative"
"4220","united flighthave already been cancelled flightled once been trying to get home two days staff being very unhelpful","sadness","negative","negative"
"4221","united each flight is worse than last flight attendants dont even know whether the plane is equipped with power outlets at the seats","unknown","negative","negative"
"4222","united flightagent now wandered off pilots came out looking for her went to charge her personal phone which shed been txting on","joy","positive","negative"
"4223","united waiting for flightto memphis incredibly rude gate agent waited until after departure time to announce delayofrude","unknown","neutral","negative"
"4224","united i dont see how i need to spend an extrabc of ur equipment failure","unknown","negative","negative"
"4225","united i dont need to make any changes i reserved my seats when i bought my tickets and there was an error amp now there are no comp seats","unknown","negative","negative"
"4226","united itsand no power outlets at the seats on ahour flight to california seriously this is why airlines are failing pathetic","sadness","negative","negative"
"4227","united thanks kp but luckily my transfer has maintenance issues and is still delayed so i didnt miss my transfer","unknown","neutral","negative"
"4228","united no not received any emails in either inbox or junkspam","unknown","positive","neutral"
"4229","unitedcould you please send me a phoneto the refunds departmentwe have submitted our claim through email without success","joy","positive","negative"
"4230","united im not this person but ive been sitting in denver for three hours and all i want to do is get on a plane please let me go home","joy","neutral","negative"
"4231","unitedflightonwas delayed over three hours because the pilot never showed up","unknown","positive","negative"
"4232","united i just need to get to ric tonight ive been in ewr for hrs now","sadness","negative","negative"
"4233","united which is why my next flights to miami will be on another airline","unknown","positive","negative"
"4234","united it is super frustrating that the folks at the united ticket counter in pittsburg arent honoring their own media rate unitedfail","anger","negative","negative"
"4235","unitedminutes after arrival and no bags for most people ua from den to ewr how long should we wait until a ual rep comes here","unknown","negative","negative"
"4236","united what is the policy behind changing passengers seating assignments at the gate","unknown","positive","neutral"
"4237","united with karen and found her unhelpful and rudecalled united at the time amp told she could board but karen would not accept","unknown","positive","negative"
"4238","united she has crossedprior times with other carriers and no issue karen was rude untrained and unhelpful i also spoke","unknown","negative","negative"
"4239","united nexus confirmed that at any crossing via air car or boat she can travel with only nexus","unknown","negative","negative"
"4240","unitedemployee yelled at heremployee stood with others whispering and pointing at her from behind counter","unknown","negative","negative"
"4241","unitedrefused boarding with nexus nexus confirmed she should not be refused","unknown","positive","negative"
"4242","united on a good note theemployees i encounterednewark were fabulous i was very late flight for my connecting flight and they got me on","joy","positive","positive"
"4243","united u lost my bag and would not refund my bag fee does that make sense to you and yes i already called cust svc they said no","unknown","neutral","negative"
"4244","united yall tried it with this little bitty plane flying out of boston i hate little planes","anger","negative","negative"
"4245","united doing a good thing holding flight for a few forpeeps on late flight connecting flight well still make destination on time","joy","neutral","positive"
"4246","united q just purchased ticket to hawaii for trip in late flightmarch does this mean we will acquire miles based on price or distance flown","unknown","neutral","neutral"
"4247","united stay warmi will be passing through chicago next week","unknown","positive","positive"
"4248","united the refund request functionality onis brokeni get a time out error","sadness","negative","negative"
"4249","united nynjairports only at newark can you landminutes early but lose all that time waiting on tarmac for a gate","unknown","negative","negative"
"4250","united giving up on your direct flight from iah to honolulu rd attempt inyearsrd delaymeal voucher wow customer service","unknown","neutral","negative"
"4251","united just played the most bizarre safety video ive ever seen","unknown","neutral","neutral"
"4252","united nearlyhours late flightr and still no idea where it is i will never fly united again if i can help it","unknown","positive","negative"
"4253","unitedhad wifi broken on plane had same outage onon friday how can southwest get it right on every plane but united cant","sadness","negative","negative"
"4254","united wifi onboardfar superior in pricing and performance userperceived bandwidth and late flightncy to recent gogo experiences","unknown","positive","positive"
"4255","united second day amp attempt trying to leave iad amp im on another plane delayed for mechanical issues over an hour delayed","unknown","negative","negative"
"4256","united is there a direct number to call to request a refundits telling me its not valid as i changed the ticketno number on site","unknown","negative","neutral"
"4257","united when is my plane comingbeen delayed for almosthours no plane","unknown","positive","negative"
"4258","united not fast enoughno excuse for service between big hubs to have such outdated craft southwest has wifi this is awful","fear","negative","negative"
"4259","united thankful for great service in newark seats fixed and i was seated with my daughter fab landing in fort myers","joy","positive","positive"
"4260","united my mothers flight was delayed from phlord were on our way to nrt and the gate refused to upgrade a platinumblegh","unknown","negative","negative"
"4261","united is late flight againeveryone braved the weather andpassengers are waiting for a flight crewreally","unknown","negative","negative"
"4262","united miserable triplost bag sat found mon lost again shipping nd day ground tues might have it for return flight home","sadness","negative","negative"
"4263","united spending the afternoonmia not your faultno lounge very inconvenient","unknown","negative","negative"
"4264","united costumer service sucks waiting for a week for a response","unknown","positive","negative"
"4265","united is there a way to geta copy of febs edition of hemispheremagazine with out flying","unknown","negative","neutral"
"4266","united i somehow think im going to be stuck paying for a hotel room in denver without winter clothes on my dimei guess well see","unknown","positive","negative"
"4267","united i normally ask people to put on headphonesbut not toddlers maybe planes should have a kid section near the back","joy","neutral","neutral"
"4268","united of course i need helpive been dming you ladies and gents all day your only solution is hope for the best and lax","unknown","neutral","negative"
"4269","united confirmation number njvbpall i need is email confirmation of flight from nycsfo feb","unknown","negative","neutral"
"4270","united is changing its mileageplus program winners and losersairline travel loyalty rewards","joy","positive","neutral"
"4271","united brandi zabsonre in denver deserves a raise for bringing delight into a terrible travel situation big ups","fear","neutral","positive"
"4272","united thank you and next flight to durango then driving to farmington new mexico for work but hitting the slopes in durango","unknown","neutral","neutral"
"4273","united i was denied use of a rear facing car seat on ua an erj can you confirm the actual policy","unknown","positive","negative"
"4274","united you better hold my flight to tucsonjust landed in houston after an hour delay for some minor computer problem","unknown","negative","negative"
"4275","thx stand by ‚Äúunited rajuchinthala i know its frustrating and i do appreciate your patience while we try to get you on your way jh‚Äù","anger","negative","neutral"
"4276","united roundtrip tickets to nj are dramatically cheaper through virgin pretty pricey via united can you match them","unknown","positive","neutral"
"4277","united dropped off a luggage at iad overmonths ago for repair from damages havent heard anything about it since when do i get it back","sadness","neutral","negative"
"4278","united thats what i thought thanks for the clarification","unknown","positive","neutral"
"4279","united feck guys stop cancelled flightling flights from ewr to ric the weather is fine i both locations","unknown","negative","negative"
"4280","unitedua has been rolling out improvements too we think hoping theyll catch up soon meantime ana is our preference","joy","positive","neutral"
"4281","united flyanaofficial pleasantly surprised to find ana has made major upgrades on their transpacific route in flights planes and service","surprise","positive","positive"
"4282","united stepcancelled flight flight stepdont notify customer stepcharge them for food while they try to survive their wait brilliant","unknown","negative","negative"
"4283","united i need my confirmation number can you give it to me","unknown","negative","neutral"
"4284","unitedbesides no small degree of selfinterest we take that route several times a year amp would hate to be in that situation","anger","negative","negative"
"4285","united we rebooked but casleah and i had to split up and take different flights because a pilot ran out of hours frustrating","anger","negative","negative"
"4286","united no worries about the tweets we all should do what we can to make sure we as in your tag line fly the friendly skies","joy","neutral","positive"
"4287","united jsumiyasu i am thankful to theunited ground staff who put me in the last seat on the last flight out home late flight is still home","unknown","negative","positive"
"4288","united i appreciate the follow up","joy","positive","positive"
"4289","unitedthats the gist of what the flight attendant told her","unknown","negative","negative"
"4290","united btw is it true you have to remind flight staff after checking in even after indicating meal prefer on your reservation","joy","negative","negative"
"4291","united what took me aback was the response by the flight attendant who put the responsibility squarely back on passengers shoulders","unknown","positive","negative"
"4292","united no but u cld explain how such a disorganized and inefficient company w surly and obviously unhappy employees stays in business","sadness","negative","negative"
"4293","united sat at airport forhrs still sitting at gatesigh","unknown","positive","negative"
"4294","united actually we did not consider she might have made a mistake she did not complain beyond that she indicated it on her reservation","unknown","negative","neutral"
"4295","united gold star for united change my flight miss all connections but cant accommodate me until a much late flightr arrival timenot happy","joy","neutral","negative"
"4296","uniteds firstclass cockup","unknown","positive","negative"
"4297","united all day travel swag ijustwanttosleep","unknown","negative","neutral"
"4298","united thank you for the new club at ohare very comfortable you made the difficult weather days proficient and enjoyable","joy","positive","positive"
"4299","united filled in the form you sent the link to onand then eitheror","unknown","negative","neutral"
"4300","united did not let me get on the iahhnl direct now weather delay for my sfo leg stop being reactive and be proactive","sadness","neutral","negative"
"4301","united bad coffee but the juice is ok getphilzunited terminal sfo airport","sadness","negative","negative"
"4302","united why am i mot getting my refund","unknown","positive","negative"
"4303","united nothing apparently ive flown w youtimes in lastweeks andof those experiences incl today were clusterfucks","unknown","positive","negative"
"4304","united didnt get her name she was not in our group she was sitting behind us think it was window seatwe only overheard","sadness","neutral","negative"
"4305","united you know what the united club needs power moar power insufficient outlets for the roadwarrior ord","unknown","neutral","negative"
"4306","united thrilled to have my carryon checked against my will by two nasty gate agents only to see an entire empty bin when i boarded last","unknown","negative","negative"
"4307","united what if business as usual meant dropping the bully mentality and fostering inspiration for a greater business employeerelations","unknown","neutral","negative"
"4308","unitedridiculous to fly outdated s anywhere much less btwn iah and sfo no power ports nowifi no personal entertainment torture","unknown","negative","negative"
"4309","united last night we waited forever at the gate because someone from corporate dispatch forgot to call the crew unfriendlyskies","unknown","negative","negative"
"4310","united broken entertainment system on myhour nyc flight terrible cabin crew service and online complaint form wont work hopeless","fear","negative","negative"
"4311","united how much does it cost to check in an additional bag traveling from newark to glasgow thank you","unknown","positive","neutral"
"4312","united call my work and tell them its your fault im late flight","unknown","negative","negative"
"4313","united new apple cr„pe amazing live from ua really nice crew tooamericanair has biscuits ua needs them","joy","positive","positive"
"4314","united clicked on the link and got this confused","unknown","negative","neutral"
"4315","united is officially the worst most delayed and least helpful airline i have ever had the misfortune of flying on","unknown","negative","negative"
"4316","united i have items of sentimental value that im heartbroken are missing","unknown","positive","negative"
"4317","united even though technically after i land i will be silver","unknown","positive","neutral"
"4318","united still waiting for a reply","unknown","positive","negative"
"4319","united please see a flight attendant for what why isnt there enough room for over head bags i carry on to save time","joy","neutral","negative"
"4320","wanted to get my bag benefit but instead getpricing on all three tickets when adding a card mp visa is only option united","sadness","negative","negative"
"4321","united i trieddm it would not go thru not sure why","unknown","positive","negative"
"4322","united link to current status of flightsairports fly bwiewrmco this morning yet cant yet tell what any problems are except see snow","unknown","negative","negative"
"4323","united i like delays less than you because im the one on the plane connect me with a voucher","joy","neutral","negative"
"4324","united and dont hope for me having a nicer flight some other time try to do things right you sold me those tickets with that connetion","unknown","negative","negative"
"4325","united the we got into the gate at iah on time and have given our seats and closed the flight if you know people is arriving have to wait","unknown","neutral","negative"
"4326","united yes we waited in line for almost an hour to do so some passengers just left not wanting to wait past am","unknown","neutral","negative"
"4327","southwestair still waiting just hit one hour","unknown","positive","negative"
"4328","southwestair although im not happy you cancelled flighted my flight home tomorrow phx to atl then dca i am happy on how easy it was to rebook","joy","negative","negative"
"4329","southwestair hellobeen on hold for extremely long time have confirmationamp cant get boarding pass have tried numerous times","sadness","negative","negative"
"4330","southwestair im teaching new travelers how to research budget amp save for a trip today","unknown","positive","neutral"
"4331","southwestair very frustrated for the loooooong wait time to speak to a live person cannot get boarding pass for flight tomorrow","anger","negative","negative"
"4332","southwestair still no update textamp still no response to email fr srfeel like yr losing customer servicecare","joy","neutral","negative"
"4333","southwestair your agents were the ones who were rude and unhelpful and prompted my initial tweet this is so easy to fix","unknown","negative","negative"
"4334","southwestair my wife had been in group a in prev flight but got bumped for some reasonalone with two kids at least put her in group a","unknown","negative","negative"
"4335","southwestair my flight was delayedhrs immonths pregnant amp supposed to be caring for my mom whose in surgery now very upset","joy","negative","negative"
"4336","southwestair thank you so much completely made things right","unknown","positive","positive"
"4337","southwestair love them always get the best deals","joy","neutral","positive"
"4338","southwestair can you follow me so i can send you the info","unknown","positive","neutral"
"4339","southwestair been on holdmin so far trying to book seat for my infant price increasedin meantime what do i do","unknown","negative","negative"
"4340","southwestair once again on glassdoors best places to work snaggingoverall notsurprising luvthem","unknown","positive","neutral"
"4341","southwestair poor performance all around paid for express checkin weeks ago and cant even leverage it bullshit","sadness","positive","negative"
"4342","southwestair thx make it right help meagan fouty brancato fl dfw gatepreboard wkidsb group a please please","joy","positive","positive"
"4343","southwestair can you update me on the emergency landing in jacksonville right now parentsonboard","unknown","positive","neutral"
"4344","southwestair i have been on hold for overminutesplease help","unknown","positive","neutral"
"4345","southwestair can yall develop ding for a chromefirefox browser extension that would be swell","unknown","positive","neutral"
"4346","southwestair can take u to midwaychicago march thapril th cant make it then americanair can get u to flyohare year round flypbi","sadness","negative","neutral"
"4347","southwestair logically you would think you check all that before you have people board i couldve drove home in the time ive been waiting","unknown","positive","negative"
"4348","southwestairthanks southwest for saving our trip my sweetheart isnt going to miss seeing altonbrownlive thanks to yall sohappy","unknown","neutral","positive"
"4349","southwestair can you have someone call me back i have been on hold two times today for overmin and still havent gotten through","unknown","negative","negative"
"4350","southwestair did you know that suicide is the second leading cause of death among teens","unknown","neutral","neutral"
"4351","southwestair never mind i moved my flight to tomorrow thanks for the help","unknown","negative","positive"
"4352","southwestair she needs a wheelchair at the gate for sure what options does she have","unknown","positive","neutral"
"4353","southwestair i managed to get sorted out over the phone good luck dealing with the snow in texas","joy","neutral","positive"
"4354","southwestair has groundedflights bc of equipment problems amp been rude to my wife traveling alone wouryoung kidsnever again","unknown","negative","negative"
"4355","southwestair do you promise to not unfollow me ˇòâ","unknown","positive","neutral"
"4356","southwestair just dmed you my confirmation number","unknown","positive","neutral"
"4357","southwestair oh look you just delayed our flight an additional half hour now arriving atofficially five hours after planned ˇòˇòˇòˇòˇòˇòˇò","unknown","neutral","negative"
"4358","southwestair weather bc of system outage hopefully everything goes smoothly now thank you for follow up","unknown","positive","positive"
"4359","southwestair belt issues been a rough day for them worst part is traveling withmonth old and having to wait outside indegree","unknown","negative","negative"
"4360","southwestair oh is it only in atlanta","unknown","positive","neutral"
"4361","southwestair they were moved to the pm flightmain concern now is luggage arriving with them they were told that sw was having","joy","negative","negative"
"4362","southwestairi used to always fly southwest","unknown","positive","positive"
"4363","southwestairgot my bagshours late flightr and an offer ofto go pick them up taxi costsone way spentfor the inconvenience","joy","negative","negative"
"4364","southwestair thx but ill be expecting a credit for this leg","unknown","negative","negative"
"4365","southwestair sure please follow me so i can do so","joy","positive","neutral"
"4366","southwestairappreciate yall getting the gate issue figured grr plenty open gates yet we sit and wait on tarmac","unknown","positive","negative"
"4367","southwestair sent","unknown","positive","neutral"
"4368","southwestairminutes on hold waiting is ridiculous","unknown","negative","negative"
"4369","southwestair have u seen any of the messages the past hour","unknown","positive","negative"
"4370","southwestair im following now","unknown","positive","neutral"
"4371","southwestairthank you for your awesome flights sweetheart got screwed on flyfrontier managed to scramble and get a sw plane today","sadness","neutral","positive"
"4372","southwestair thanks so much","unknown","positive","positive"
"4373","southwestair roundtrip tickets just arrived for our auction at the postmasters invitational thanks southwest","unknown","positive","positive"
"4374","southwestair went to purchase a flight that i began processing not evenminutes earlier and the points had gone upany help","unknown","negative","negative"
"4375","southwestair im so upset that my luggage was damaged and the rude employee at the laguardia airport didnt help","unknown","negative","negative"
"4376","southwestair tv stream means i get to spend my flight watchingandwomens world cup finals throwback bestflightever","sadness","negative","positive"
"4377","southwestair what is the status of the bag check area at ffl","unknown","positive","neutral"
"4378","southwestair heavenlychc id at least enjoy a free cocktailor two","joy","neutral","positive"
"4379","southwestair i agree rt news one airline is the flyaway favorite at dianewsbusiness","unknown","positive","positive"
"4380","southwestair its flightof that matters to you all hell next we all wont get our luggage properly transferred facepalm smh","sadness","negative","negative"
"4381","southwestair your phone service sucks","unknown","positive","negative"
"4382","southwestair my flight at bwi is delayed and i will miss my flight in denver is there a way to find out if they will hold the plane","unknown","negative","neutral"
"4383","southwestair airport snow removal method keep up the good work folks this is where cessnas become s","joy","positive","positive"
"4384","southwestair are people in an exit row still supposed to give their verbal approvals i was never asked on the flight im on","unknown","negative","negative"
"4385","southwestair and now our arrival is delayed nearly hours yeah an entire day in an airport is not my idea of a stress less vacation fail","unknown","negative","negative"
"4386","southwestair oh and now your company has caused us to lose an entire day of our vacation in cancun de boarded waiting for another plane","unknown","negative","negative"
"4387","southwestair trying to change my reservation been on hold forminutes and cant do it onlinewas directed to call help","unknown","negative","negative"
"4388","southwestair my first call got dropped waitedmins for the second but ran out of time will try again late flightr no way to do this online","unknown","negative","negative"
"4389","southwestair yo im trying to make a change to a reservation but whenever i select the flight it says unable to price please help","joy","negative","negative"
"4390","southwestair great now we are all de boarding perfectly plane is shot fml plans are screwed thanks for nothing southwestair","joy","positive","negative"
"4391","southwestair teyana taylor performing medusafridaysfree tillthemenofbusiness","unknown","positive","neutral"
"4392","southwestair had to let us off the plane bc the toilets done even work there goes my family vacay to playa del carmen mexico neveragain","unknown","positive","negative"
"4393","southwestair thanks for the apology unfortunately i have had one too many bad experiences and will no longer be flying with southwest","sadness","negative","negative"
"4394","southwestair i was told by customer service that only customer relations can extend the expiration date of my unused travel funds","unknown","positive","negative"
"4395","southwestair smiles over two hours nowugh we should all get vouchers this is inexcusable esp after a pre flight check that was ok","sadness","negative","negative"
"4396","southwestair i have aflight out of birmingham tomorrow night can i reschedule it for an earlier flight because of the expected snow","unknown","negative","neutral"
"4397","you have to follow me back so that i can dm southwestair","unknown","positive","neutral"
"4398","southwestair horrible experience passenger of size wasin my seat offeredvoucher for this by christine c","fear","negative","negative"
"4399","southwestair rd time flying southwest in two years have another trip back to mx on october","unknown","positive","neutral"
"4400","southwestair yes very much so i was looking forward to using your airlines for future flights but never again","unknown","positive","negative"
"4401","southwestair need to learn how to treat people with respect and just a little dignity fail","joy","neutral","negative"
"4402","southwestair redeempoints packages magically gone by time we finally got throughfelt like baitandswitch","joy","positive","negative"
"4403","southwestair done","unknown","positive","neutral"
"4404","southwestair i think i get a faster response on twitter than i do when i callwhats up with that","sadness","neutral","negative"
"4405","southwestair any idea when the winter advisory will be posted for atl for tomorrowid rather get to phl tonight","sadness","neutral","neutral"
"4406","southwestair then had to watch the staff check off each passenger on the list twice because the first time they forgot look at ids brutal","unknown","negative","negative"
"4407","southwestair was on flightfrom chibuf last night almosthour delay cuz someone got on the plane without a passsounds safe","unknown","negative","negative"
"4408","southwestair thx for your quick response and action bf will make good use of the voucher satisfied happycustomer","joy","positive","positive"
"4409","southwestair nothing you can do to help us restore some barelyexpired rapidrewards points","unknown","positive","negative"
"4410","southwestair rapid rewards program sold me short lasttweetaboutthis but still disappointed","unknown","negative","negative"
"4411","southwestair freezing in the plane","unknown","positive","negative"
"4412","southwestair where your airline people screwed up our boarding passes on the way back from puerto vallarta this is horrible and we are","fear","negative","negative"
"4413","southwestair from groupa to group c we have never got to sit next to each other on any south west flight not even on our honey moon","unknown","negative","negative"
"4414","southwestair flight to atlanta getting cancelled flightled and then had to re schedule on the phone for overhours with a rep this bumping us","unknown","negative","negative"
"4415","southwestair due to an apparent water issue that checked out fine during the checks my husband and i already had to deal with our first","unknown","positive","negative"
"4416","southwestair u have a lot of pissed off hungry tired people stuck at midwayoverhours after scheduled departure this is inexcusable","anger","negative","negative"
"4417","southwestair do you know that your lost baggage portaldoesnt work on mobile its a","unknown","positive","negative"
